lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
egregius,ēgregius,ēgregius -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,860,"distinguished, uncommon"
eligo,ēligō,ēligō ēligere ēlēgī ēlēctum,Verb: 3rd Conjugation -ō,The City,942,"pick out, select"
enim,enim,enim,Conjunction,Pronouns/Interrogatives,57,"for, indeed"
eo,eō,eō īre iī/īvī itum,Verb: Irregular,Motion,97,go
eo,eō,eō,Adverb,Place,470,"(adv.) there, to that place"
epistula,epistula,epistula -ae f.,Noun: 1st Declension,Writing/Poetry,951,letter
eques,eques,eques equitis m.,Noun: 3rd Declension,War and Peace,296,"horseman, knight"
equus,equus,equus -ī m.,Noun: 2nd Declension,Animals/Plants,248,horse
ergo,ergō,ergō,Conjunction,Conjunctions/Adverbs,134,therefore
eripio,ēripiō,ēripiō -ripere -ripuī -reptum,Verb: 3rd Conjugation -iō,Verbs of Transport,349,"snatch away, rescue, save"
erro,errō,errō -āre,Verb: 1st Conjugation,Travel,402,"go astray, wander"
error,error,error -ōris m.,Noun: 3rd Declension,Travel,832,"wandering; error, mistake"
et,et,et,Conjunction,Conjunctions/Adverbs,1,and
etiam,etiam,etiam,Adverb,Conjunctions/Adverbs,67,"also, even"
ex,ex,"ex, ē",Preposition,Place,26,"out of, from (+ abl.)"
excipio,excipiō,excipiō -cipere -cēpī -ceptum,Verb: 3rd Conjugation -iō,Verbs of Transport,394,take out
exemplum,exemplum,exemplum -ī n.,Noun: 2nd Declension,Speech/Oratory,519,"example, sample, copy"
exeo,exeō,exeō -īre -iī -itum,Verb: Irregular,Motion,597,go forth
exerceo,exerceō,exerceō -ercēre -ercuī -ercitum,Verb: 2nd Conjugation,Athletics,576,"train, exercise, carry on"
exercitus,exercitus,exercitus -ūs m.,Noun: 4th Declension,War and Peace,267,army
exigo,exigō,exigō -igere -ēgī -āctum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,500,drive out; collect
existimo,exīstimō,exīstimō -āre,Verb: 1st Conjugation,Education/Knowledge,613,"think, believe"
experior,experior,experior -perīrī -pertus sum,Verb: Deponent,Education/Knowledge,713,"try thoroughly, test, experience"
exsilium,exsilium,exsilium -ī n.,Noun: 2nd Declension,Travel,794,"exile, banishment"
exspecto,exspectō,exspectō -āre,Verb: 1st Conjugation,Vision,442,"watch, wait, expect"
extremus,extrēmus,extrēmus -a -um,Adjective: 1st and 2nd Declension,Geography,385,"farthest, situated at the end or tip, extreme"
fabula,fābula,fābula -ae f.,Noun: 1st Declension,Writing/Poetry,966,"account, tale, story"
facies,faciēs,faciēs -ēī f.,Noun: 5th Declension,Vision,479,"form, appearance"
facilis,facilis,facilis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,451,easy
facinus,facinus,facinus facinoris n.,Noun: 3rd Declension,Justice,646,"deed, crime"
facio,faciō,faciō facere fēcī factum,Verb: 3rd Conjugation -iō,Making/Doing,32,"do, make"
factum,factum,factum -ī n.,Noun: 2nd Declension,Making/Doing,611,"deed, accomplishment"
fallo,fallō,fallō fallere fefellī falsum,Verb: 3rd Conjugation -ō,Deception,503,deceive
falsus,falsus,falsus -a -um,Adjective: 1st and 2nd Declension,Deception,633,"deceptive, false"
fama,fāma,fāma -ae f.,Noun: 1st Declension,Speech/Oratory,278,"rumor, fame"
fames,famēs,famēs -is f.,Noun: 3rd Declension,Life and Being,828,"hunger, famine"
familia,familia,familia -ae f.,Noun: 1st Declension,The Household,943,"household, family"
fateor,fateor,fateor fatērī fassus sum,Verb: Deponent,Justice,689,"admit, confess; profess, declare; assent, say yes"
fatum,fātum,fātum -ī n.,Noun: 2nd Declension,Religion,157,fate; death
fax,fax,fax facis f.,Noun: 3rd Declension,Air and Fire,511,torch
feliciter,fēlīciter,fēlīciter,Adverb,Personality Traits/Characteristics,994,luckily
felix,fēlīx,fēlīx -īcis,Adjective: 3rd Declension,Personality Traits/Characteristics,309,lucky
femina,fēmina,fēmina -ae f.,Noun: 1st Declension,People,501,woman
fere,ferē,ferē,Adverb,Conjunctions/Adverbs,907,almost
fero,ferō,ferō ferre tulī lātum,Verb: Irregular,Verbs of Transport,45,"bear, carry, endure"
ferrum,ferrum,ferrum -ī n.,Noun: 2nd Declension,Violence,231,"iron, iron weapon or implement"
ferus,ferus,ferus -a -um,Adjective: 1st and 2nd Declension,Animals/Plants,222,"wild, fierce; fera -ae f.: wild animal"
fessus,fessus,fessus -a -um,Adjective: 1st and 2nd Declension,Life and Being,625,"weary, tired"
fidelis,fidēlis,fidēlis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,979,faithful
fides,fidēs,fidēs -eī f.,Noun: 5th Declension,Personality Traits/Characteristics,184,"trust, faith"
filia,fīlia,fīlia -ae f.; fīlius -ī m.,Noun: 1st Declension,The Household,909,daughter; son
fingo,fingō,fingō fingere fīnxī fīctum,Verb: 3rd Conjugation -ō,Making/Doing,721,shape; invent
finis,fīnis,fīnis -is m.,Noun: 3rd Declension,Geography,236,"end, boundary"
fio,fīō,fīō fierī factus sum,Verb: Irregular,Life and Being,146,"become, happen, be done"
flamma,flamma,flamma -ae f.,Noun: 1st Declension,Air and Fire,298,"flame, fire"
fleo,fleō,fleō flēre flēvī flētum,Verb: 2nd Conjugation,Emotions,457,weep
flos,flōs,flōs flōris m.,Noun: 3rd Declension,Animals/Plants,818,"flower, bloom"
fluctus,fluctus,fluctus -ūs m,Noun: 4th Declension,Earth and Water,498,"flood, billow, surf"
flumen,flūmen,flūmen -inis n.,Noun: 3rd Declension,Earth and Water,283,"stream, river"
fluo,fluō,fluō fluere fluxī fluxum,Verb: 3rd Conjugation -ō,Earth and Water,772,flow
foedus,foedus,foedus -a -um,Adjective: 1st and 2nd Declension,Other Senses,922,foul
fons,fōns,fōns fontis m.,Noun: 3rd Declension,Earth and Water,706,"spring, fountain"
for,for,for fārī fātus sum,Verb: Deponent,Speech/Oratory,739,"report, say"
forma,fōrma,fōrma -ae f.,Noun: 1st Declension,Other Senses,422,shape; beauty
fors,fors,fors fortis f.,Noun: 3rd Declension,Religion,993,chance
forsitan,forsitan,"forsitan, fortasse",Adverb,Conjunctions/Adverbs,833,"perhaps, perchance"
forte,fortē,fortē,Adverb,Religion,579,by chance
fortis,fortis,fortis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,286,brave
fortuna,fortūna,fortūna -ae f.,Noun: 1st Declension,Religion,138,fortune
forum,forum,forum -ī n.,Noun: 2nd Declension,The City,811,"market-place, forum"
frango,frangō,frangō frangere frēgī frāctum,Verb: 3rd Conjugation -ō,Violence,345,"break, shatter"
frater,frāter,frāter frātris m.,Noun: 3rd Declension,The Household,225,brother
frequens,frequēns,frequēns -ntis,Adjective: 3rd Declension,Measurement,918,"in large numbers, often"
frons,frōns,frōns frontis f.,Noun: 3rd Declension,The Body,559,"forehead, brow; front"
fructus,frūctus,frūctus -ūs m.,Noun: 4th Declension,Animals/Plants,927,"fruit, crops; enjoyment, delight"
frumentum,frūmentum,frūmentum -ī n.,Noun: 2nd Declension,Animals/Plants,936,grain
fruor,fruor,fruor fruī frūctus sum,Verb: Deponent,Emotions,923,"enjoy the produce of, profit by, use (+ abl.)"
frustra,frūstrā,frūstrā,Adverb,Conjunctions/Adverbs,694,in vain
fuga,fuga,fuga -ae f.,Noun: 1st Declension,Travel,364,"flight, route"
fugio,fugiō,fugiō fugere fūgī fugitum,Verb: 3rd Conjugation -iō,Travel,177,"flee, escape"
fugo,fugō,fugō -āre,Verb: 1st Conjugation,Travel,957,put to flight
fundo,fundō,fundō fundere fūdī fūsum,Verb: 3rd Conjugation -ō,Earth and Water,523,"pour, scatter"
funus,fūnus,fūnus fūneris n.,Noun: 3rd Declension,Religion,524,funeral; death; dead body
furor,furor,furor -ōris m.,Noun: 3rd Declension,Emotions,466,"rage, fury"
fore,fore,fore,Verb: Irregular,Life and Being,985,
gaudeo,gaudeō,gaudeō gaudēre gāvīsus sum,Verb: 2nd Conjugation,Emotions,407,rejoice
gaudium,gaudium,gaudium -ī n.,Noun: 2nd Declension,Emotions,727,"delight, joy, pleasure"
gens,gēns,gēns gentis f.,Noun: 3rd Declension,The Household,194,"family, clan"
genus,genus,genus generis n.,Noun: 3rd Declension,The Household,170,"origin, lineage, kind"
gero,gerō,gerō gerere gessī gestum,Verb: 3rd Conjugation -ō,War and Peace,237,"bear, manage; bellum gerere, wage war"
gigno,gīgnō,gīgnō gīgnere genuī genitum,Verb: 3rd Conjugation -ō,Life and Being,667,"beget, bear, bring forth"
gladius,gladius,gladius -ī m.,Noun: 2nd Declension,War and Peace,862,sword
gloria,glōria,glōria -ae f.,Noun: 1st Declension,Social Life,360,"glory, fame"
gradus,gradus,gradus -ūs m.,Noun: 4th Declension,War and Peace,577,"step, pace; grade, rank"
gratia,grātia,grātia -ae f.,Noun: 1st Declension,Social Life,380,"favor, influence, gratitude"
gratus,grātus,grātus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,434,pleasant; grateful
gravis,gravis,gravis -e,Adjective: 3rd Declension,Measurement,140,"heavy, serious"
habeo,habeō,habeō habēre habuī habitum,Verb: 2nd Conjugation,Other Senses,39,"have, hold"
haud,haud,haud,Adverb,Conjunctions/Adverbs,226,not
hic,hic,hic haec hoc,Pronoun,Pronouns/Interrogatives,7,"this, these"
hic,hīc,hīc,Adverb,Place,80,here; hinc: from here
hiems,hiems,hiems hiemis f.,Noun: 3rd Declension,Lengths of Time,803,winter
hodie,hodiē,hodiē,Adverb,Lengths of Time,981,today
homo,homō,homō hominis m.,Noun: 3rd Declension,People,88,human being
honestus,honestus,honestus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,580,honorable
honor,honor,honor -ōris m.,Noun: 3rd Declension,The City,290,"honor, glory; office, post"
hora,hōra,hōra -ae f.,Noun: 1st Declension,Lengths of Time,664,hour
hortor,hortor,hortor hortārī hortātus sum,Verb: Deponent,Speech/Oratory,887,"urge strongly, advise, exhort"
hospes,hospes,hospes hospitis m.,Noun: 3rd Declension,Social Life,873,"guest, guest-friend; stranger; host"
hostis,hostis,hostis -is m./f.,Noun: 3rd Declension,War and Peace,93,"stranger, enemy"
huc,hūc,hūc,Adverb,Place,368,to this place
humanus,hūmānus,hūmānus -a -um,Adjective: 1st and 2nd Declension,People,355,human
humus,humus,humus -ī f.,Noun: 2nd Declension,Earth and Water,740,ground; humī: on the ground
iaceo,iaceō,iaceō iacēre iacuī,Verb: 2nd Conjugation,The House,228,lie
iacio,iaciō,iaciō iacere iēcī iactum,Verb: 3rd Conjugation -iō,Athletics,899,"throw, hurl"
iam,iam,iam,Adverb,Time,34,now; already
ibi,ibi,ibi,Adverb,Place,619,there
ictus,īctus,īctus -ūs m.,Noun: 4th Declension,Violence,819,"blow, stroke"
idem,īdem,īdem eadem idem,Pronoun,Pronouns/Interrogatives,59,the same
ideo,ideō,ideō,Adverb,Conjunctions/Adverbs,679,for this reason
igitur,igitur,igitur,Conjunction,Conjunctions/Adverbs,313,therefore
ignis,ignis,ignis -is m.,Noun: 3rd Declension,Air and Fire,151,fire
ille,ille,ille illa illud,Pronoun,Pronouns/Interrogatives,8,that
illic,illīc,illīc,Adverb,Place,396,"at that place, there; illinc: from that place"
illuc,illūc,illūc,Adverb,Place,955,to that place
imago,imāgō,imāgō -inis f.,Noun: 3rd Declension,Vision,754,"image, form, figure"
imperator,imperātor,imperātor -ōris m.,Noun: 3rd Declension,War and Peace,723,commander
imperium,imperium,imperium -ī n.,Noun: 2nd Declension,War and Peace,200,"command, power"
impero,imperō,imperō -āre,Verb: 1st Conjugation,War and Peace,602,"command, control"
impetus,impetus,impetus -ūs m.,Noun: 4th Declension,Violence,421,attack
impleo,impleō,impleō -ēre -plēvī -plētum,Verb: 2nd Conjugation,Earth and Water,671,"fill in, fill up"
impono,impōnō,impōnō -ere -posuī -positum,Verb: 3rd Conjugation -ō,Measurement,437,"put in, put on, impose, levy upon"
in,in,in,Preposition,Place,5,"in, on (+ abl.); into, onto (+ acc)"
incido,incidō,incidō incidere incidī,Verb: 3rd Conjugation -ō,Motion,871,"fall upon, fall into; happen"
incipio,incipiō,incipiō -cipere -cēpī -ceptum,Verb: 3rd Conjugation -iō,Time,411,begin
inde,inde,inde,Adverb,Place,328,"from there, from then"
indico,indicō,indicō -āre,Verb: 1st Conjugation,Speech/Oratory,980,"point out, show, make known"
infero,īnferō,īnferō īnferre intulī illātum,Verb: Irregular,War and Peace,742,"bring upon, against; bellum īnferre: make war on"
inferus,īnferus,īnferus -a -um,Adjective: 1st and 2nd Declension,Geography,428,low; īnferior: lower; īnfimus or īmus: lowest
ingenium,ingenium,ingenium -ī n.,Noun: 2nd Declension,Education/Knowledge,387,"disposition, ability, talent"
ingens,ingēns,ingēns ingentis,Adjective: 3rd Declension,Measurement,202,"huge, enormous"
ingratus,ingrātus,ingrātus -a -um:,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,592,"unpleasant, disagreeable"
ingredior,ingredior,ingredior -gredī -gressus sum:,Verb: Deponent,Motion,885,"step in, enter"
inimicus,inimīcus,inimīcus -a -um:,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,952,unfriendly; (as subst.) enemy
initium,initium,initium -ī n.:,Noun: 2nd Declension,Time,865,beginning
iniuria,iniūria,iniūria -ae f.:,Noun: 1st Declension,Justice,381,"injustice, wrong, affront"
inquam,inquam,"inquam, inquis, inquit, inquiunt:",Verb: Irregular,Speech/Oratory,163,say (used with direct speech)
instituo,īnstituō,īnstituō -stituere -stituī -stitūtum:,Verb: 3rd Conjugation -ō,Making/Doing,931,undertake; equip
insula,īnsula,īnsula -ae f.:,Noun: 1st Declension,Geography,908,island
integer,integer,integer -gra -grum:,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,815,"untouched, fresh, complete, whole"
intellego,intellegō,intellegō -legere -lēxī -lēctum:,Verb: 3rd Conjugation -ō,Education/Knowledge,512,understand
intendo,intendō,intendō -tendere -tendī -tentum:,Verb: 3rd Conjugation -ō,Motion,895,"stretch out, strain"
inter,inter,inter,Preposition,Place,64,"between, among; during (+ acc.)"
interficio,interficiō,interficiō -ficere -fēcī -fectum,Verb: 3rd Conjugation -iō,Violence,699,kill
interim,interim,interim,Adverb,Time,693,meanwhile
interrogo,interrogō,interrogō -āre,Verb: 1st Conjugation,Speech/Oratory,953,"put a question to, ask (+ acc.)"
intersum,intersum,intersum -esse -fuī,Verb: Irregular,Place,760,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)"
intra,intrā,intrā,Preposition,Place,704,within (+ acc.)
intro,intrō,intrō -āre,Verb: 1st Conjugation,Motion,766,enter
invenio,inveniō,inveniō -venīre -vēnī -ventum,Verb: 4th Conjugation,Travel,316,find; discover
invidia,invidia,invidia -ae f.,Noun: 1st Declension,Emotions,707,"envy, jealousy, hatred"
ipse,ipse,ipse ipsa ipsum,Pronoun,Pronouns/Interrogatives,22,him- her- itself
ira,īra,īra irae f.,Noun: 1st Declension,Emotions,187,"wrath, anger"
irascor,īrāscor,īrāscor īrāscī īrātus sum,Verb: Deponent,Emotions,809,grow angry; īrātus -a -um: angry
is,is,is ea id,Pronoun,Pronouns/Interrogatives,13,"he, she, it"
iste,iste,iste ista istud,Pronoun,Pronouns/Interrogatives,81,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there"
ita,ita,ita,Adverb,Conjunctions/Adverbs,120,"thus, so"
itaque,itaque,itaque,Conjunction,Conjunctions/Adverbs,208,"and so, therefore"
item,item,item,Adverb,Conjunctions/Adverbs,932,likewise
iter,iter,iter itineris n.,Noun: 3rd Declension,Travel,230,"journey, route"
iterum,iterum,iterum,Adverb,Time,758,again
iubeo,iubeō,iubeō iubēre iussī iussum,Verb: 2nd Conjugation,Justice,84,"bid, order"
iudex,iūdex,iūdex iūdicis m.,Noun: 3rd Declension,Justice,839,"judge, juror"
iudicium,iūdicium,iūdicium -ī n.,Noun: 2nd Declension,Justice,749,"judgment, decision, trial"
iudico,iūdicō,iūdicō -āre,Verb: 1st Conjugation,Justice,565,"judge, decide"
iugum,iugum,iugum -ī n.,Noun: 2nd Declension,Animals/Plants,335,"yoke; ridge, chain of hills"
iungo,iungō,iungō iungere iūnxī iūnctum,Verb: 3rd Conjugation -ō,Making/Doing,513,join
iuro,iūrō,iūrō -āre,Verb: 1st Conjugation,Justice,896,"take an oath, swear; iūs iūrandum, oath"
ius,iūs,iūs iūris n.,Noun: 3rd Declension,Justice,314,"right, justice, law"
iustus,iūstus,iūstus -a -um,Adjective: 1st and 2nd Declension,Justice,770,"right, just, fair"
iuvenis,iuvenis,iuvenis -is m.,Noun: 3rd Declension,People,277,youth
iuvo,iuvō,iuvō iuvāre iūvī iūtum,Verb: 1st Conjugation,Social Life,390,"help, assist; please, delight"
labor,labor,labor -ōris m.,Noun: 3rd Declension,Business/Money,201,"toil, exertion"
laboro,labōrō,labōrō -āre,Verb: 1st Conjugation,Business/Money,900,"toil, work; be in trouble or distress"
lacrima,lacrima,lacrima -ae f.,Noun: 1st Declension,Emotions,354,tear
laedo,laedō,laedō laedere laesī laesum,Verb: 3rd Conjugation -ō,Violence,783,"injure by striking, hurt"
laetus,laetus,laetus -a -um,Adjective: 1st and 2nd Declension,Emotions,262,"glad, joyful"
lapis,lapis,lapis lapidis m.,Noun: 3rd Declension,Earth and Water,840,stone
lateo,lateō,lateō latēre latuī,Verb: 2nd Conjugation,Deception,695,"lie hidden, be hidden"
latus,latus,latus -eris n.,Noun: 3rd Declension,The Body,382,"side, flank"
latus,lātus,lātus -a -um,Adjective: 1st and 2nd Declension,Measurement,824,"broad, wide"
laudo,laudō,laudō -āre,Verb: 1st Conjugation,Social Life,435,praise
laus,laus,laus laudis f.,Noun: 3rd Declension,Social Life,444,"praise, glory"
legatus,lēgātus,lēgātus -ī m.,Noun: 2nd Declension,War and Peace,464,"lieutenant, envoy"
legio,legiō,legiō -ōnis f.,Noun: 3rd Declension,War and Peace,370,legion
lego,legō,legō legere lēgī lēctum,Verb: 3rd Conjugation -ō,Writing/Poetry,419,"gather, choose, read"
levis,levis,levis -e,Adjective: 3rd Declension,Measurement,220,"light, trivial"
lex,lēx,lēx lēgis f.,Noun: 3rd Declension,Justice,264,law
liber,liber,liber librī m.,Noun: 2nd Declension,Writing/Poetry,901,book
liber,līber,līber lībera līberum,Adjective: 1st and 2nd Declension,Justice,229,free; līberī (m. pl.): freeborn children
libertas,lībertās,lībertās -ātis f.,Noun: 3rd Declension,The City,495,freedom
libet,libet,libet libēre libuit or libitum est,Verb: Impersonal,Social Life,729,it is pleasing (+ dat. + infin.)
libido,libīdō,libīdō -inis f.,Noun: 3rd Declension,Love,761,"passion, lust"
licet,licet,licet licēre licuit licitum est,Verb: Impersonal,Justice,175,it is permitted (+ dat. + infin.)
licet,licet,licet,Conjunction,Justice,778,even though
limen,līmen,līmen līminis n.,Noun: 3rd Declension,The House,516,threshold
lingua,lingua,lingua -ae f.,Noun: 1st Declension,The Body,732,tongue; language
littera,littera,littera -ae f.,Noun: 1st Declension,Writing/Poetry,710,"letter, (pl.) literature"
litus,lītus,lītus -oris n.,Noun: 3rd Declension,Geography,245,shore
locus,locus,locus -ī m.,Noun: 2nd Declension,Geography,62,place; loca (n. pl.) region
longe,longē,longē,Adverb,Measurement,400,"far, far off"
longus,longus,longus -a -um,Adjective: 1st and 2nd Declension,Measurement,142,"long, far"
loquor,loquor,loquor loquī locūtus sum,Verb: Deponent,Speech/Oratory,310,"speak, talk"
lumen,lūmen,lūmen luminis n.,Noun: 3rd Declension,Vision,375,light
luna,lūna,lūna -ae f.,Noun: 1st Declension,Air and Fire,902,moon
lux,lūx,lūx lūcis f.,Noun: 3rd Declension,Air and Fire,299,light of day
maestus,maestus,maestus -a -um,Adjective: 1st and 2nd Declension,Emotions,669,"sad, sorrowful; depressing"
magis,magis,magis,Adverb,Conjunctions/Adverbs,90,more
magister,magister,magister magistrī m.,Noun: 2nd Declension,Education/Knowledge,933,"master, chief"
magnitudo,māgnitūdō,māgnitūdō -inis f.,Noun: 3rd Declension,Measurement,672,"greatness, size"
magnus,māgnus,māgnus -a -um,Adjective: 1st and 2nd Declension,Measurement,25,great
maiores,māiōrēs,māiōrēs māiōrum m.,Noun: 3rd Declension,The Household,764,ancestors
male,male,male,Adverb,Personality Traits/Characteristics,603,(adv.) badly
malo,mālō,mālō mālle māluī,Verb: Irregular,Emotions,598,prefer
malus,malus,malus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,227,"bad, evil"
maneo,maneō,maneō manēre mānsī mānsum,Verb: 2nd Conjugation,Travel,357,remain
manus,manus,manus -ūs f.,Noun: 4th Declension,The Body,48,hand; band of men
mare,mare,mare -is n.,Noun: 3rd Declension,Earth and Water,125,sea
maritus,marītus,marītus -ī m.,Noun: 2nd Declension,The Household,654,husband
mater,māter,māter mātris f.,Noun: 3rd Declension,The Household,127,mother
materia,māteria,māteria -ae f.,Noun: 1st Declension,Speech/Oratory,857,"material, subject matter; timber, lumber"
medius,medius,medius -a -um,Adjective: 1st and 2nd Declension,Place,162,"middle, central"
membrum,membrum,membrum -ī n.,Noun: 2nd Declension,The Body,481,"limb, member of the body"
memini,meminī,meminī meminisse,Verb: Irregular,Education/Knowledge,670,"remember, recollect"
memoria,memoria,memoria -ae f.,Noun: 1st Declension,Education/Knowledge,627,"recollection, memory"
mens,mēns,mēns mentis f.,Noun: 3rd Declension,The Body,173,mind
mensa,mēnsa,mēnsa -ae f.,Noun: 1st Declension,The House,747,table
mereo,mereō,mereō merēre meruī meritum,Verb: 2nd Conjugation,Business/Money,852,"deserve, merit; serve as a soldier"
metuo,metuō,metuō metuere metuī,Verb: 3rd Conjugation -ō,Emotions,429,"to fear, to dread"
metus,metus,metus -ūs m.,Noun: 4th Declension,Emotions,215,"fear, dread"
meus,meus,meus -a -um,Pronoun,Pronouns/Interrogatives,41,my
miles,mīles,mīles -itis m.,Noun: 3rd Declension,War and Peace,161,soldier
mille,mīlle,mīlle (pl.) mīlia,Adjective: Numeral,Measurement,247,thousand
miror,mīror,mīror mīrārī mīrātus sum,Verb: Deponent,Emotions,504,"wonder at, marvel at (+ acc.)"
misceo,misceō,misceō miscēre miscuī mixtum,Verb: 2nd Conjugation,Earth and Water,425,mix
miser,miser,miser misera miserum,Adjective: 1st and 2nd Declension,Emotions,137,"wretched, pitiable"
mitto,mittō,mittō mittere mīsī missum,Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,114,"send, let go"
modo,modo,modo,Adverb,Time,152,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes"
modus,modus,modus -ī m.,Noun: 2nd Declension,Measurement,195,"measure, manner, kind"
moenia,moenia,moenia -ium n. pl.,Noun: 3rd Declension,The City,593,"walls, fortifications"
mollis,mollis,mollis -e,Adjective: 3rd Declension,Other Senses,356,"soft, yielding, gentle"
moneo,moneō,moneō monēre monuī monitum,Verb: 2nd Conjugation,Speech/Oratory,711,"warn, advise"
mons,mōns,mōns montis m.,Noun: 3rd Declension,Geography,242,mountain
mora,mora,mora -ae f.,Noun: 1st Declension,Time,399,"delay, hindrance"
morbus,morbus,morbus -ī m.,Noun: 2nd Declension,The Body,658,"sickness, disease"
morior,morior,morior morī mortuus sum,Verb: Deponent,Life and Being,253,die
moror,moror,moror morārī morātus sum,Verb: Deponent,Time,581,delay
mors,mors,mors mortis f.,Noun: 3rd Declension,Life and Being,95,death
mortalis,mortālis,mortālis -e,Adjective: 3rd Declension,Life and Being,950,"liable to death, mortal; (as subst.) a mortal"
mos,mōs,mōs mōris m.,Noun: 3rd Declension,Social Life,181,"custom, habit; (pl.) character"
moveo,moveō,moveō -ēre mōvī mōtum,Verb: 2nd Conjugation,Motion,192,move
mox,mox,mox,Adverb,Time,469,soon
mulier,mulier,mulier -eris f.,Noun: 3rd Declension,People,961,woman
multitudo,multitūdō,multitūdō -inis f.,Noun: 3rd Declension,Measurement,733,"multitude, number"
multus,multus,multus -a -um,Adjective: 1st and 2nd Declension,Measurement,43,"much, many; multō, by far"
mundus,mundus,mundus -ī m.,Noun: 2nd Declension,Earth and Water,350,"world, universe, heavens"
mundus,mundus,mundus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,997,"clean, neat, elegant"
munus,mūnus,mūnus mūneris n.,Noun: 3rd Declension,Social Life,276,"gift, offering; duty, obligation; (pl.) gladiatorial show"
murus,mūrus,mūrus -ī m.,Noun: 2nd Declension,The House,508,wall
muto,mūtō,mūtō -āre,Verb: 1st Conjugation,Making/Doing,315,change
nam,nam,nam or namque,Conjunction,Conjunctions/Adverbs,61,"for, indeed, really"
narro,narrō,narrō -āre,Verb: 1st Conjugation,Speech/Oratory,910,"relate, recount"
nascor,nāscor,nāscor nāscī nātus sum,Verb: Deponent,Life and Being,266,be born
natura,nātūra,nātūra -ae f.,Noun: 1st Declension,Life and Being,180,nature
natus,nātus,nātus -ī m.,Noun: 2nd Declension,The Household,211,son
navis,nāvis,nāvis -is f.,Noun: 3rd Declension,Travel,353,ship
ne,ne,ne (enclitic),Adverb,Pronouns/Interrogatives,238,interrogative particle attached to the emphatic word in a question
ne,nē,nē,Conjunction,Conjunctions/Adverbs,47,"lest, that not"
nec,nec,nec,Conjunction,Conjunctions/Adverbs,19,"and not, nor; nec ... nec, neither ... nor; → neque"
necesse,necesse,necesse (indecl. adj.),Adjective: Indeclinable,Business/Money,773,necessary
necessitas,necessitās,necessitās -tātis f.,Noun: 3rd Declension,Business/Money,911,"necessity, need"
nefas,nefās,nefās n. indecl.,Noun: Indeclinable,Justice,541,"impiety, wickedness"
nego,negō,negō -āre,Verb: 1st Conjugation,Speech/Oratory,294,"deny, refuse"
negotium,negōtium,negōtium -ī n.,Noun: 2nd Declension,Business/Money,846,business
nemo,nēmō,nēmō,Pronoun,Pronouns/Interrogatives,179,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)"
nemus,nemus,nemus nemoris n.,Noun: 3rd Declension,Animals/Plants,461,"grove, forest"
neque,neque,neque,Conjunction,Conjunctions/Adverbs,72,"and not, nor; neque ... neque, neither ... nor; → nec"
nescio,nesciō,nesciō -scīre,Verb: 4th Conjugation,Education/Knowledge,525,"not know, be ignorant"
nisi,nisi,"nisi, nī",Conjunction,Conjunctions/Adverbs,100,"if not, unless"
niger,niger,niger nigra nigrum,Adjective: 1st and 2nd Declension,Vision,634,black
nihil,nihil,"nihil, nīl",Noun: Indeclinable,Measurement,55,nothing; not at all
nimis,nimis,nimis or nimium,Adverb,Personality Traits/Characteristics,841,excessively
nimius,nimius,nimius -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,502,"too much, excessive"
nobilis,nōbilis,nōbilis -e,Adjective: 3rd Declension,Personality Traits/Characteristics,455,"distinguished, noble; (as subst.) a nobleman or woman"
noceo,noceō,noceō nocēre nocuī,Verb: 2nd Conjugation,Violence,509,harm
nolo,nōlō,nōlō nōlle nōluī,Verb: Irregular,Emotions,458,be unwilling
nomen,nōmen,nōmen -inis n.,Noun: 3rd Declension,Social Life,135,name
non,nōn,nōn,Adverb,Conjunctions/Adverbs,6,not
nondum,nōndum,nōndum,Adverb,Conjunctions/Adverbs,436,not yet
nos,nōs,nōs nostrum/nostrī nōbīs nōs,Pronoun,Pronouns/Interrogatives,51,we
nosco,nōscō,nōscō nōscere nōvī nōtum,Verb: 3rd Conjugation -ō,Education/Knowledge,347,"learn, know"
noster,noster,noster nostra nostrum,Pronoun,Pronouns/Interrogatives,52,our
notus,nōtus,nōtus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,477,well-known
novus,novus,novus -a -um,Adjective: 1st and 2nd Declension,Time,139,new
