lemma_clean,lemma_macron,full_headword_source,pos,semantic_group,rank,definition_source
aptus,aptus,aptus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,916,"fit, suitable"
apud,apud,apud,Preposition,Place,205,"near, in the presence of (+acc.)"
aqua,aqua,aqua -ae f.,Noun: 1st Declension,Earth and Water,272,water
ara,āra,āra -ae f.,Noun: 1st Declension,Religion,374,altar
arbitror,arbitror,arbitror arbitrārī arbitrātus sum,Verb: Deponent,Education/Knowledge,963,"consider, think"
arbor,arbor,arbor arboris f.,Noun: 3rd Declension,Animals/Plants,468,tree
ardeo,ārdeō,ārdeō ārdēre ārsī ārsum,Verb: 2nd Conjugation,Air and Fire,618,"blaze, glow; be eager"
argentum,argentum,argentum -ī n.,Noun: 2nd Declension,Business/Money,849,"silver, money"
arma,arma,arma -ōrum n. pl.,Noun: 2nd Declension,War and Peace,98,"arms, weapons"
ars,ars,ars artis f.,Noun: 3rd Declension,Education/Knowledge,258,skill
arvum,arvum,arvum -ī n.,Noun: 2nd Declension,Animals/Plants,637,"ploughed land, field"
arx,arx,arx arcis f.,Noun: 3rd Declension,The City,638,"citadel, castle; summit"
ascendo,ascendō,ascendō -ere -scendī -scēnsum,Verb: 3rd Conjugation -ō,Travel,990,"climb up, ascend"
aspicio,aspiciō,aspiciō -ere -spēxī -spectum,Verb: 3rd Conjugation -iō,Vision,483,"look to or at, behold"
adsum,adsum,adsum adesse affuī,Verb: Irregular,Place,279,be present
astrum,astrum,astrum -ī n.,Noun: 2nd Declension,Air and Fire,685,star; constellation
at,at,at,Conjunction,Conjunctions/Adverbs,74,"but, but yet"
atque,atque,atque,Conjunction,Conjunctions/Adverbs,35,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac"
auctor,auctor,auctor -ōris m.,Noun: 3rd Declension,Writing/Poetry,546,"originator, founder"
auctoritas,auctōritās,auctōritās -ātis f.,Noun: 3rd Declension,Social Life,898,"influence, clout, authority"
audax,audāx,audāx audācis,Adjective: 3rd Declension,Personality Traits/Characteristics,876,"bold, daring; reckless"
audeo,audeō,audeō audēre ausus sum,Verb: 2nd Conjugation,Personality Traits/Characteristics,270,"dare, be eager"
audio,audiō,audiō -īre -īvī/-iī -ītum,Verb: 4th Conjugation,Other Senses,165,"hear, listen to"
aufero,auferō,auferō auferre abstulī ablātum,Verb: Irregular,Verbs of Transport,556,take away
augeo,augeō,augeō augēre auxī auctum,Verb: 2nd Conjugation,Making/Doing,709,increase
avis,avis,avis -is f.,Noun: 3rd Declension,Animals/Plants,855,bird
aura,aura,aura -ae f.,Noun: 1st Declension,Air and Fire,420,breeze
aureus,aureus,aureus -a -um,Adjective: 1st and 2nd Declension,Business/Money,691,golden; splendid
auris,auris,auris -is f.,Noun: 3rd Declension,The Body,366,ear
aurum,aurum,aurum -ī n.,Noun: 2nd Declension,Business/Money,303,gold
aut,aut,aut,Conjunction,Conjunctions/Adverbs,24,or
autem,autem,autem,Conjunction,Conjunctions/Adverbs,123,"moreover, but, however"
auxilium,auxilium,auxilium -ī n.,Noun: 2nd Declension,War and Peace,543,"support, assistance; (pl.) auxiliary forces"
barbarus,barbarus,barbarus -ī m.,Noun: 2nd Declension,War and Peace,768,"foreigner, barbarian"
beatus,beātus,beātus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408,"happy, blessed, prosperous, fortunate"
bellum,bellum,bellum -ī n.,Noun: 2nd Declension,War and Peace,86,war
bene,bene,bene,Adverb,Personality Traits/Characteristics,235,well
beneficium,beneficium,beneficium -ī n.,Noun: 2nd Declension,Social Life,182,"service, kindness"
bonus,bonus,bonus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,68,good
bos,bōs,bōs bovis m.,Noun: 3rd Declension,Animals/Plants,808,ox; gen. pl. boum
brevis,brevis,brevis -e,Adjective: 3rd Declension,Measurement,589,"short, shallow, brief"
breviter,breviter,breviter,Adverb,Measurement,992,briefly
cado,cadō,cadō cadere cecidī cāsum,Verb: 3rd Conjugation -ō,Violence,210,"fall, be killed"
caecus,caecus,caecus -a -um,Adjective: 1st and 2nd Declension,Vision,728,"blind, unseeing; dark, obscure"
caedes,caedēs,caedēs -is f.,Noun: 3rd Declension,Violence,415,"killing, slaughter"
caedo,caedō,caedō caedere cecīdī caesum,Verb: 3rd Conjugation -ō,Violence,612,"strike, kill, cut down"
caelestis,caelestis,caelestis -e,Adjective: 3rd Declension,Air and Fire,960,"from or of heaven; caelestēs, the gods"
caelum,caelum,caelum -ī n.,Noun: 2nd Declension,Air and Fire,117,"sky, heavens"
campus,campus,campus -ī m.,Noun: 2nd Declension,Earth and Water,391,"plain, field"
candidus,candidus,candidus -a -um,Adjective: 1st and 2nd Declension,Vision,692,"white, fair"
canis,canis,canis -is m./f.,Noun: 3rd Declension,Animals/Plants,687,dog
cano,canō,canō canere cecinī cantum,Verb: 3rd Conjugation -ō,Writing/Poetry,389,sing
capio,capiō,capiō capere cēpī captum,Verb: 3rd Conjugation -iō,War and Peace,131,seize
caput,caput,caput capitis n.,Noun: 3rd Declension,The Body,124,head
careo,careō,careō -ēre -uī,Verb: 2nd Conjugation,Business/Money,572,lack (+ abl.)
carmen,carmen,carmen -inis n.,Noun: 3rd Declension,Writing/Poetry,254,song
carus,cārus,cārus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462,dear
castrum,castrum,castrum -ī n.,Noun: 2nd Declension,War and Peace,224,"fortress, (regularly plural, castra camp)"
castus,castus,castus -a -um,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,838,"pure, spotless, chaste"
casus,cāsus,cāsus -ūs m.,Noun: 4th Declension,Violence,344,"a fall; chance, accident"
